468, 466, 466, 0, 470, 0, 390, 0, 466, 470, 472, 466, 470, 470, 466, 466, 0, 470, 0, 0, 0, 470, 0, 458, 470, 0, 470, 466, 0, 0, 0, 0, 462, 466, 468, 0, 466, 466, 466, 0, 470, 0, 404, 462, 470, 0, 0, 466, 0, 470, 0, 466, 466, 0, 0, 0, 0, 466, 0, 466, 0, 470, 466, 0, 466, 412, 470, 466, 466, 470, 0, 466, 0, 466, 466, 466, 0, 470, 466, 466, 466, 0, 0, 0, 466, 0, 0, 0, 0, 466, 466, 466, 0, 466, 0, 466, 0, 0, 0, 466, 0, 406, 470, 464, 0, 466, 466, 466, 466, 470, 0, 466, 0, 0, 466, 466, 466, 0, 0, 0, 
456, 0, 472, 0, 470, 472, 360, 472, 428, 438, 472, 460, 472, 0, 476, 0, 354, 472, 0, 0, 472, 472, 420, 472, 456, 460, 476, 472, 0, 454, 472, 0, 0, 0, 360, 476, 412, 472, 466, 0, 472, 470, 468, 468, 380, 470, 0, 472, 472, 476, 472, 392, 472, 472, 0, 440, 472, 0, 0, 0, 0, 0, 470, 470, 472, 458, 468, 472, 0, 0, 0, 472, 470, 472, 0, 358, 470, 0, 472, 0, 470, 474, 468, 0, 470, 472, 0, 440, 472, 470, 460, 470, 470, 0, 472, 472, 0, 470, 472, 464, 470, 0, 470, 470, 470, 468, 0, 470, 0, 470, 0, 472, 0, 470, 0, 470, 0, 472, 0, 0, 
476, 0, 0, 0, 476, 476, 476, 0, 436, 476, 476, 0, 476, 474, 476, 476, 474, 476, 476, 0, 346, 0, 476, 0, 476, 470, 476, 476, 474, 0, 472, 474, 364, 0, 476, 476, 364, 472, 0, 468, 0, 0, 476, 0, 474, 474, 474, 0, 0, 476, 476, 0, 438, 476, 476, 0, 0, 0, 474, 474, 0, 0, 0, 0, 0, 434, 0, 0, 474, 0, 0, 476, 474, 472, 0, 472, 474, 388, 472, 476, 0, 474, 0, 456, 472, 472, 464, 0, 474, 476, 0, 476, 474, 458, 472, 0, 474, 0, 348, 444, 472, 476, 472, 0, 0, 0, 0, 0, 0, 0, 0, 476, 472, 416, 0, 432, 472, 472, 472, 474, 
476, 472, 476, 476, 0, 452, 0, 416, 0, 476, 460, 0, 468, 476, 476, 476, 364, 0, 0, 480, 480, 448, 386, 476, 364, 0, 478, 476, 0, 0, 476, 460, 476, 476, 478, 476, 476, 412, 476, 476, 0, 478, 474, 0, 0, 476, 478, 416, 0, 476, 0, 476, 0, 450, 0, 0, 0, 452, 0, 448, 476, 480, 478, 0, 476, 416, 406, 476, 472, 0, 476, 476, 476, 476, 476, 0, 476, 476, 0, 476, 478, 476, 0, 0, 476, 0, 476, 452, 472, 476, 0, 476, 476, 476, 0, 0, 0, 0, 476, 476, 476, 476, 476, 0, 480, 0, 476, 0, 0, 0, 448, 476, 476, 0, 476, 476, 0, 476, 0, 0, 
478, 0, 478, 466, 444, 452, 478, 478, 368, 478, 480, 400, 480, 0, 480, 480, 480, 474, 480, 480, 480, 400, 476, 418, 0, 442, 482, 0, 482, 454, 362, 480, 480, 478, 0, 482, 346, 342, 306, 0, 472, 478, 480, 0, 480, 482, 0, 0, 480, 478, 480, 478, 482, 478, 0, 0, 478, 478, 0, 470, 482, 480, 464, 480, 0, 470, 478, 476, 482, 338, 480, 0, 478, 480, 480, 0, 0, 0, 0, 482, 0, 476, 478, 0, 0, 388, 0, 478, 0, 408, 348, 480, 478, 0, 480, 480, 478, 0, 0, 0, 0, 482, 474, 480, 480, 0, 0, 478, 0, 0, 0, 0, 478, 346, 478, 468, 0, 0, 0, 0, 
482, 482, 0, 482, 472, 482, 482, 482, 482, 482, 0, 0, 444, 0, 482, 482, 370, 482, 0, 482, 0, 482, 0, 0, 482, 482, 482, 0, 0, 484, 482, 0, 464, 482, 478, 0, 316, 484, 480, 426, 482, 0, 482, 366, 0, 482, 386, 0, 482, 0, 0, 482, 482, 482, 480, 482, 482, 482, 0, 0, 482, 0, 0, 438, 466, 482, 462, 0, 482, 0, 482, 482, 470, 480, 482, 362, 482, 482, 482, 482, 482, 482, 482, 482, 0, 482, 0, 0, 482, 0, 0, 0, 482, 482, 482, 0, 482, 0, 482, 0, 482, 482, 0, 454, 480, 482, 482, 0, 0, 458, 482, 0, 0, 482, 482, 448, 0, 0, 0, 0, 
482, 0, 414, 482, 482, 0, 318, 482, 430, 338, 482, 482, 384, 474, 0, 0, 466, 482, 482, 0, 410, 0, 0, 486, 482, 0, 0, 484, 352, 484, 468, 0, 486, 436, 0, 438, 420, 484, 482, 482, 0, 458, 486, 482, 454, 0, 0, 0, 482, 0, 0, 484, 0, 372, 484, 0, 0, 454, 0, 482, 482, 482, 0, 0, 482, 482, 482, 466, 482, 482, 0, 0, 482, 482, 0, 486, 458, 0, 0, 0, 0, 0, 482, 0, 482, 430, 0, 482, 486, 0, 0, 484, 482, 482, 482, 482, 482, 0, 0, 482, 0, 482, 478, 0, 0, 462, 482, 482, 482, 482, 482, 482, 486, 482, 482, 482, 484, 0, 482, 482, 
486, 486, 486, 0, 486, 486, 0, 486, 486, 486, 486, 486, 486, 340, 486, 486, 0, 486, 486, 486, 418, 486, 0, 0, 394, 0, 390, 486, 486, 0, 430, 470, 486, 0, 372, 0, 486, 0, 438, 486, 0, 0, 0, 486, 468, 0, 484, 482, 0, 486, 486, 436, 470, 472, 0, 486, 0, 0, 0, 486, 486, 486, 484, 486, 464, 486, 486, 0, 0, 482, 486, 338, 0, 486, 0, 404, 486, 486, 0, 486, 0, 470, 456, 486, 486, 486, 424, 0, 486, 486, 0, 486, 0, 482, 486, 0, 486, 486, 484, 0, 486, 486, 0, 0, 0, 0, 482, 486, 0, 486, 486, 0, 486, 414, 456, 0, 484, 0, 0, 482, 
486, 486, 486, 486, 486, 486, 486, 486, 0, 486, 282, 486, 486, 478, 0, 486, 0, 0, 0, 0, 486, 460, 0, 490, 0, 486, 420, 410, 486, 0, 486, 0, 486, 382, 486, 484, 486, 486, 0, 282, 386, 0, 486, 0, 0, 478, 0, 486, 486, 0, 0, 0, 0, 0, 486, 486, 486, 0, 0, 486, 0, 486, 0, 0, 422, 0, 286, 0, 434, 486, 0, 486, 0, 0, 0, 486, 456, 0, 486, 0, 450, 0, 482, 486, 486, 486, 0, 0, 486, 0, 430, 0, 490, 0, 486, 486, 482, 486, 0, 0, 0, 486, 486, 486, 486, 486, 486, 486, 486, 486, 486, 0, 486, 0, 486, 0, 0, 0, 0, 486, 
0, 490, 0, 0, 474, 0, 0, 0, 0, 0, 0, 216, 448, 0, 0, 0, 354, 474, 488, 488, 486, 488, 490, 490, 490, 0, 0, 0, 488, 0, 0, 294, 0, 488, 488, 488, 488, 0, 0, 456, 488, 0, 482, 0, 488, 0, 490, 466, 490, 490, 488, 484, 472, 0, 0, 488, 488, 490, 0, 0, 488, 488, 0, 0, 0, 456, 0, 488, 488, 488, 488, 0, 476, 490, 490, 0, 486, 0, 488, 490, 0, 490, 488, 0, 486, 0, 442, 0, 0, 488, 486, 0, 490, 0, 486, 0, 488, 0, 486, 490, 484, 0, 372, 0, 474, 486, 486, 486, 486, 0, 486, 488, 486, 484, 486, 0, 0, 0, 490, 450, 
490, 490, 0, 0, 0, 490, 490, 490, 0, 0, 494, 434, 490, 494, 490, 490, 0, 0, 0, 0, 474, 0, 490, 490, 0, 0, 490, 0, 492, 0, 486, 0, 0, 0, 490, 0, 490, 490, 478, 0, 492, 0, 490, 0, 0, 490, 490, 0, 490, 490, 494, 0, 422, 0, 490, 490, 482, 482, 494, 482, 0, 492, 0, 0, 464, 490, 490, 0, 490, 0, 490, 490, 0, 490, 490, 490, 490, 0, 0, 490, 0, 492, 0, 0, 0, 490, 490, 376, 0, 0, 0, 0, 490, 0, 490, 0, 0, 490, 0, 490, 0, 490, 0, 0, 490, 490, 0, 0, 0, 0, 0, 490, 466, 0, 0, 490, 490, 490, 490, 490, 
494, 0, 494, 492, 494, 494, 0, 490, 450, 0, 494, 0, 494, 494, 0, 0, 494, 494, 452, 492, 494, 0, 0, 418, 458, 0, 494, 494, 494, 0, 0, 486, 0, 486, 0, 494, 0, 494, 356, 494, 492, 0, 492, 494, 0, 0, 494, 488, 494, 492, 494, 0, 494, 0, 0, 0, 492, 492, 494, 0, 0, 492, 494, 492, 0, 454, 494, 0, 494, 494, 486, 0, 490, 494, 0, 0, 492, 406, 494, 0, 0, 492, 492, 494, 0, 0, 0, 492, 474, 0, 0, 494, 494, 416, 0, 492, 494, 492, 0, 0, 0, 474, 494, 482, 0, 0, 494, 0, 492, 0, 494, 490, 0, 492, 0, 0, 0, 0, 0, 494, 
